Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,72.86076848890919
2,2.0,85.92854051714811
3,3.0,93.79622344610544
4,4.0,93.45804070719814
5,5.0,94.22226386806597
6,6.0,95.2020263971346
7,7.0,95.68198395331876
8,8.0,95.5699315590266
9,9.0,95.71640947878572
10,10.0,95.86254267167426
11,11.0,96.0811597578016
12,12.0,96.0811597578016
13,13.0,96.0811597578016
14,14.0,96.0811597578016
15,15.0,96.1538907539151
16,16.0,96.22655672579452
17,17.0,96.22655672579452
18,18.0,96.13216964718634
19,19.0,96.05841924398626
20,20.0,96.05841924398626
