Muestra;Coef_erp;acc_P300S01;acc_P300S02;acc_P300S03;acc_P300S06
1;0.5;66.63879599;59.75858167;52.89319791;41.49908592
2;1;78.05816938;69.02163257;65.51789077;60.85889134
3;1.5;77.69830255;75.87672361;72.36969112;72.74266448
4;2;83.508395;85.12254902;77.10187933;80.10186872
5;2.5;87.43987435;88.95515781;78.99580239;83.20734965
6;3;90.84965249;91.94412272;81.89054916;88.14778751
7;3.5;92.90081522;93.14895164;84.50061601;91.28573302
8;4;94.89639686;94.55068589;86.11185622;92.26175481
9;4.5;95.53713843;95.34240148;88.23284499;93.40224211
10;5;95.73625027;95.83214996;89.45749281;94.45708629
11;5.5;96.22866769;96.11994698;91.28412538;94.83126534
12;6;96.29355799;96.40774401;92.06381654;94.83126534
13;6.5;96.42319277;96.85973748;92.24209378;95.17457149
14;7;96.42319277;97.04510622;92.7563212;95.24737631
15;7.5;96.4879421;97.04510622;93.10120019;95.1016496
16;8;96.4879421;96.98333807;93.60042562;95.24737631
17;8.5;96.55264923;96.98333807;94.09458369;95.17457149
18;9;96.77742781;96.98333807;94.09458369;95.24737631
19;9.5;96.77742781;97.1068556;94.42571153;95.3200684
20;10;96.84104628;97.1068556;94.82304351;95.3200684
