Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,65.51789077212806
2,2.0,67.26415094339623
3,3.0,67.26415094339623
4,4.0,69.73792222796509
5,5.0,68.0616361919478
6,6.0,67.26415094339623
7,7.0,67.29678638941398
8,8.0,70.33248081841433
9,9.0,71.18636792857757
10,10.0,71.18636792857757
11,11.0,69.52696310312204
12,12.0,69.52696310312204
13,13.0,70.2020202020202
14,14.0,71.00283822138127
15,15.0,70.2020202020202
16,16.0,69.99049429657795
17,17.0,69.26086860132574
18,18.0,68.69296577946768
19,19.0,70.47132374132619
20,20.0,71.84678935276507
